symbol	phylostratum	taxon_name
HELZ	8	Mammalia
NRXN3	6	Eumetazoa
SLC4A1	8	Mammalia
RBM14-RBM4	4	Eukaryota
RNF213	6	Eumetazoa
MACF1	6	Eumetazoa
LY6G6E	8	Mammalia
PPAN-P2RY11	4	Eukaryota
PRPS1L1	1	Cellular_organisms
ZNF550	5	Opisthokonta
IGKV3D-7	5	Opisthokonta
LCE6A	8	Mammalia
TRBC2	7	Vertebrata
LOC339290	8	Mammalia
KANSL1L	6	Eumetazoa
SLC12A8	6	Eumetazoa
RBM47	4	Eukaryota
IFT56	4	Eukaryota
FER1L5	8	Mammalia
TMEM129	6	Eumetazoa
E2F8	4	Eukaryota
UBA6	4	Eukaryota
ESYT2	6	Eumetazoa
ESYT3	4	Eukaryota
MED19	6	Eumetazoa
BLTP3B	6	Eumetazoa
IGLC7	7	Vertebrata
SHTN1	6	Eumetazoa
PLSCR5	8	Mammalia
DHRS12	4	Eukaryota
SLC5A10	3	Euk+Bac
TMEM223	6	Eumetazoa
DAPL1	6	Eumetazoa
CIB4	4	Eukaryota
TLDC2	4	Eukaryota
SHISA3	7	Vertebrata
TMEM82	7	Vertebrata
FEZF1	6	Eumetazoa
GXYLT2	5	Opisthokonta
TMEM120B	4	Eukaryota
TMEM72	6	Eumetazoa
CLRN2	6	Eumetazoa
TMEM30CP	8	Mammalia
SLC66A1LP	5	Opisthokonta
LNP1	7	Vertebrata
ARHGAP10	7	Vertebrata
CFAP119	4	Eukaryota
IRGM	6	Eumetazoa
FAM170A	8	Mammalia
KRTAP23-1	8	Mammalia
ANO9	4	Eukaryota
SLC22A23	4	Eukaryota
BICDL2	6	Eumetazoa
ODAM	8	Mammalia
ARHGEF37	5	Opisthokonta
FAM168B	7	Vertebrata
PXDNL	3	Euk+Bac
MEX3A	7	Vertebrata
HACL2	3	Euk+Bac
TSPAN11	6	Eumetazoa
ERICH2	6	Eumetazoa
UBE2QL1	4	Eukaryota
C20ORF202	8	Mammalia
C1ORF226	8	Mammalia
NDUFAF8	8	Mammalia
SYCE3	7	Vertebrata
PLEKHG3	5	Opisthokonta
ELOVL7	4	Eukaryota
MT1DP	7	Vertebrata
GAGE12B;	8	Mammalia
NUTM2F	8	Mammalia
PRSS38	6	Eumetazoa
SSC5D	8	Mammalia
FSD2	7	Vertebrata
PLAC8L1	7	Vertebrata
SH3PXD2B	5	Opisthokonta
CIBAR1	6	Eumetazoa
ZBTB7C	6	Eumetazoa
MACROD2	1	Cellular_organisms
ZC3H12D	6	Eumetazoa
SERTM1	7	Vertebrata
FRMD3	5	Opisthokonta
ANKRD18B	8	Mammalia
MAGEB16	4	Eukaryota
PTPDC1	4	Eukaryota
TTC24	1	Cellular_organisms
PIPSL	4	Eukaryota
TAPBP	7	Vertebrata
HLA-DQB2	7	Vertebrata
BCLAF3	7	Vertebrata
RP3-377D14.1-002	8	Mammalia
DYTN	6	Eumetazoa
CCDC78	6	Eumetazoa
HFM1	2	Euk_Archaea
ZNF320	8	Mammalia
WDR27	3	Euk+Bac
TMEM213	8	Mammalia
NBAS	4	Eukaryota
TARS3	1	Cellular_organisms
HEATR9	6	Eumetazoa
TMEM218	6	Eumetazoa
TESPA1	8	Mammalia
LINC02872	8	Mammalia
SMCO3	7	Vertebrata
HYKK	1	Cellular_organisms
HMX2	7	Vertebrata
FAM234B	6	Eumetazoa
MEIOC	6	Eumetazoa
CCDC66	6	Eumetazoa
TYW5	4	Eukaryota
MYBPHL	6	Eumetazoa
TMEM132E-DT	8	Mammalia
CCDC144A	8	Mammalia
DENND3	4	Eukaryota
TMEM89	8	Mammalia
CLPSL1	8	Mammalia
DCDC2B	6	Eumetazoa
FUOM	3	Euk+Bac
TMEM131L	7	Vertebrata
SSPOP	6	Eumetazoa
OR2M5	8	Mammalia
VWA8	4	Eukaryota
SBNO1	3	Euk+Bac
PRAMEF22	8	Mammalia
PRAMEF27	8	Mammalia
LAMB4	7	Vertebrata
SMIM30	8	Mammalia
CPED1	6	Eumetazoa
CRPPA	3	Euk+Bac
FAM221A	6	Eumetazoa
LOC401317	8	Mammalia
GSAP	6	Eumetazoa
ZNF804B	7	Vertebrata
GTPBP10	4	Eukaryota
LRRD1	4	Eukaryota
WDR91	4	Eukaryota
KLRG2	6	Eumetazoa
RAB19	6	Eumetazoa
PRSS37	6	Eumetazoa
DENND11	5	Opisthokonta
LOC392621	8	Mammalia
GRIFIN	7	Vertebrata
LOC402245	8	Mammalia
LOC285872	8	Mammalia
CDC14C	4	Eukaryota
SPMIP7	6	Eumetazoa
MBLAC1	6	Eumetazoa
PMS2P1	8	Mammalia
OR2A25	8	Mammalia
GRID2IP	6	Eumetazoa
MTMR11	7	Vertebrata
CTAGE9	8	Mammalia
SH3D21	4	Eukaryota
EFCAB5	6	Eumetazoa
EME2	7	Vertebrata
SLC35F4	4	Eukaryota
CFAP90	6	Eumetazoa
LRP5L	6	Eumetazoa
PI4KAP2	4	Eukaryota
XIRP2	7	Vertebrata
POTEF	4	Eukaryota
FITM1	5	Opisthokonta
CLEC18A	7	Vertebrata
VPS37C	7	Vertebrata
ODAD3	4	Eukaryota
CFAP69	5	Opisthokonta
FLJ45422	7	Vertebrata
PSMB11	7	Vertebrata
PSD	5	Opisthokonta
KRABD3	8	Mammalia
RGSL1	6	Eumetazoa
ANKRD34B	7	Vertebrata
PEDS1	3	Euk+Bac
FAM149A	6	Eumetazoa
TRAPPC13	4	Eukaryota
HTR3E	6	Eumetazoa
CNOT1	4	Eukaryota
ARHGEF35	8	Mammalia
CARNS1	3	Euk+Bac
MEGF11	4	Eukaryota
CDHR4	8	Mammalia
BDP1	4	Eukaryota
FAM221B	4	Eukaryota
C5ORF63	6	Eumetazoa
DPPA5	8	Mammalia
TMEM150B	7	Vertebrata
ANKRD62	8	Mammalia
GOLGA8IP	8	Mammalia
PINLYP	7	Vertebrata
ARB2BP	4	Eukaryota
CCDC88B	3	Euk+Bac
GOLGA8O	8	Mammalia
MAP1LC3B2	4	Eukaryota
KLHL33	7	Vertebrata
MAGEA13P	8	Mammalia
VWA3A	5	Opisthokonta
LINC00862	8	Mammalia
C2ORF78	8	Mammalia
TEKTIP1	8	Mammalia
TRIM43B	8	Mammalia
GMNC	7	Vertebrata
LRCOL1	8	Mammalia
ANKRD33B	4	Eukaryota
DRC11L	4	Eukaryota
KRT87P	8	Mammalia
TEX52	6	Eumetazoa
RNF222	7	Vertebrata
NKX2-6	6	Eumetazoa
C2ORF72	8	Mammalia
OR6C74	8	Mammalia
USP17L3	4	Eukaryota
USP17L4	4	Eukaryota
IZUMO1R	6	Eumetazoa
FAM83G	7	Vertebrata
OR14I1	8	Mammalia
ASPDH	6	Eumetazoa
LRIT2	6	Eumetazoa
PALM3	8	Mammalia
